epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,622.295,0.71559,0.48909,0.99796,0.93732,0.92095,0.97575,0.81372,0.73523,0.42963,0.97822,0.000990365,0.000990365,0.000990365
43,636.898,0.71423,0.48038,0.98336,0.87762,0.90557,0.96389,0.82091,0.74371,0.49228,0.98146,0.000973861,0.000973861,0.000973861
44,651.922,0.71391,0.47713,0.98881,0.86031,0.934,0.96751,0.8075,0.74713,0.54514,0.99444,0.000957358,0.000957358,0.000957358
45,666.6,0.70644,0.4818,0.98503,0.90847,0.91636,0.97117,0.80805,0.74415,0.47266,0.98461,0.000940855,0.000940855,0.000940855
46,681.273,0.70107,0.4713,0.98255,0.87959,0.92358,0.96494,0.80357,0.74566,0.48568,0.99375,0.000924352,0.000924352,0.000924352
47,696.003,0.70688,0.49106,0.98806,0.89551,0.90342,0.95359,0.7956,0.70528,0.47745,0.96886,0.000907848,0.000907848,0.000907848
48,710.58,0.67836,0.47091,0.97251,0.92362,0.89652,0.96967,0.81306,0.74747,0.45938,0.99275,0.000891345,0.000891345,0.000891345
49,725.327,0.67715,0.4638,0.97434,0.85763,0.90598,0.96251,0.80466,0.78106,0.5373,0.98721,0.000874842,0.000874842,0.000874842
50,740.957,0.69422,0.46293,0.98168,0.90819,0.92691,0.9698,0.82259,0.7248,0.46124,0.96714,0.000858338,0.000858338,0.000858338
51,755.871,0.67508,0.4674,0.9701,0.89085,0.9274,0.97069,0.82794,0.73525,0.46867,0.97994,0.000841835,0.000841835,0.000841835
52,770.764,0.66907,0.45255,0.96653,0.91539,0.88959,0.97334,0.8214,0.75841,0.47329,0.99906,0.000825332,0.000825332,0.000825332
53,785.337,0.6694,0.44427,0.96826,0.89629,0.94643,0.96874,0.82218,0.72768,0.42558,0.97438,0.000808828,0.000808828,0.000808828
54,800.024,0.67366,0.44901,0.97713,0.89655,0.88441,0.96235,0.81838,0.73436,0.49953,0.99204,0.000792325,0.000792325,0.000792325
55,814.688,0.66639,0.44751,0.96983,0.91885,0.895,0.96925,0.81594,0.77639,0.47315,1.01569,0.000775822,0.000775822,0.000775822
56,829.264,0.66275,0.44565,0.97545,0.87867,0.93667,0.96756,0.82659,0.71471,0.4497,0.98358,0.000759318,0.000759318,0.000759318
57,843.902,0.66365,0.4334,0.96362,0.853,0.95163,0.96451,0.82085,0.74449,0.47275,0.99266,0.000742815,0.000742815,0.000742815
58,858.469,0.65874,0.43581,0.96739,0.87252,0.9182,0.95893,0.80337,0.74733,0.50093,0.98801,0.000726312,0.000726312,0.000726312
59,872.762,0.65963,0.43764,0.96574,0.84865,0.94333,0.96535,0.81451,0.75011,0.49086,0.98656,0.000709809,0.000709809,0.000709809
60,887.204,0.6373,0.42607,0.95489,0.90373,0.94794,0.96918,0.81444,0.74597,0.4285,0.99038,0.000693305,0.000693305,0.000693305
61,901.723,0.63667,0.41365,0.95424,0.89178,0.94215,0.96325,0.80604,0.7539,0.44351,0.98439,0.000676802,0.000676802,0.000676802
62,916.402,0.64175,0.42724,0.95824,0.86204,0.94755,0.97229,0.83106,0.71506,0.49961,0.99806,0.000660299,0.000660299,0.000660299
63,931.226,0.63171,0.40951,0.94993,0.85803,0.97415,0.96983,0.82065,0.74462,0.44565,0.98938,0.000643795,0.000643795,0.000643795
64,945.934,0.63608,0.41968,0.95522,0.87072,0.96777,0.97602,0.8294,0.72211,0.42829,0.98438,0.000627292,0.000627292,0.000627292
65,960.328,0.63851,0.41459,0.96003,0.93297,0.92227,0.97437,0.82996,0.73543,0.42525,0.98807,0.000610789,0.000610789,0.000610789
66,974.798,0.62707,0.41727,0.95039,0.91941,0.94502,0.97193,0.81608,0.76061,0.42011,1.00029,0.000594286,0.000594286,0.000594286
67,989.466,0.61976,0.39714,0.94839,0.93208,0.91321,0.97316,0.81989,0.75899,0.43393,0.99931,0.000577782,0.000577782,0.000577782
68,1004.14,0.62579,0.40655,0.95619,0.90904,0.93992,0.96924,0.82331,0.72267,0.42355,0.98185,0.000561279,0.000561279,0.000561279
69,1018.91,0.6193,0.3962,0.94421,0.93212,0.93737,0.97519,0.82227,0.75195,0.41206,0.99746,0.000544776,0.000544776,0.000544776
